"entry_date","Source_ID","data_id_code","data_type","band_layer_name","in_class_field_name","in_class_value","in_class_description","in_class_description_detail","out_class_value","efg_code","efg_name","efg_description","get_link","mapping","EFG_out_membership_proportion","crosswalked_by","status","review_needed","reviewed","review_by","GET_version","Comment","crosswalk_acknowledgement","band_no","band_ID"
"2024/09/04 00:00:00",122,"inegi_mex_lcov_2021","vector","cdv_usuev250sVII_cnal","DESCRIPCIO","ACUÍCOLA","ACUÍCOLA","No further information",110,"F3.4","Freshwater aquafarms","Freshwater aquafarms are ponds constructed from earthworks or cages built within freshwater lakes, rivers and reservoirs. They are most common in Asia. and used to produce species. Their commercial production of fish and crustacean involves intensive interventions, including focussed inputs of food and nutrients, and control of competitors, predators and diseases that may limit production of target species. Consequently habitat diversity and primary production are low, and non-target biota is limited to opportunistic colonisers from adjacent water sources, including insects, fish, frogs, waterbirds and some aquatic plants.","https://global-ecosystems.org/explore/groups/F3.4","ValueToValue",,"INEGI_NCAVES","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0122001"
"2024/09/04 00:00:00",122,"inegi_mex_lcov_2021","vector","cdv_usuev250sVII_cnal","DESCRIPCIO","AGRICULTURA DE HUMEDAD ANUAL","AGRICULTURA DE HUMEDAD ANUAL","No further information",46,"T7.1","Annual croplands","Croplands are intensively managed agricultural ecosystems maintained by supplementation of nutrients and water, sowing and harvesting, soil cultivation and control of non-target plants and animals (weeds and pests). They currently cover 11% of the world’s land surface. Some systems of management include domestic herbivores introduced on harvested stubble or in ‘fallow’ years. These are structurally simple, very low-diversity, high-productivity systems, dominated by one or few non-woody, shallow-rooted annual plant species such as grains (mostly C3 grasses), vegetables, ‘cut flowers’, legumes, or fibre plants harvested annually by humans for commercial or subsistence production of food, materials, or ornamental displays.","https://global-ecosystems.org/explore/groups/T7.1","ValueToValue",,"INEGI_NCAVES","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0122001"
"2024/09/04 00:00:00",122,"inegi_mex_lcov_2021","vector","cdv_usuev250sVII_cnal","DESCRIPCIO","AGRICULTURA DE HUMEDAD ANUAL Y PERMANENTE","AGRICULTURA DE HUMEDAD ANUAL Y PERMANENTE","No further information",46,"T7.1","Annual croplands","Croplands are intensively managed agricultural ecosystems maintained by supplementation of nutrients and water, sowing and harvesting, soil cultivation and control of non-target plants and animals (weeds and pests). They currently cover 11% of the world’s land surface. Some systems of management include domestic herbivores introduced on harvested stubble or in ‘fallow’ years. These are structurally simple, very low-diversity, high-productivity systems, dominated by one or few non-woody, shallow-rooted annual plant species such as grains (mostly C3 grasses), vegetables, ‘cut flowers’, legumes, or fibre plants harvested annually by humans for commercial or subsistence production of food, materials, or ornamental displays.","https://global-ecosystems.org/explore/groups/T7.1","ValueToValue",,"INEGI_NCAVES","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0122001"
"2024/09/04 00:00:00",122,"inegi_mex_lcov_2021","vector","cdv_usuev250sVII_cnal","DESCRIPCIO","AGRICULTURA DE HUMEDAD ANUAL Y SEMIPERMANENTE","AGRICULTURA DE HUMEDAD ANUAL Y SEMIPERMANENTE","No further information",46,"T7.1","Annual croplands","Croplands are intensively managed agricultural ecosystems maintained by supplementation of nutrients and water, sowing and harvesting, soil cultivation and control of non-target plants and animals (weeds and pests). They currently cover 11% of the world’s land surface. Some systems of management include domestic herbivores introduced on harvested stubble or in ‘fallow’ years. These are structurally simple, very low-diversity, high-productivity systems, dominated by one or few non-woody, shallow-rooted annual plant species such as grains (mostly C3 grasses), vegetables, ‘cut flowers’, legumes, or fibre plants harvested annually by humans for commercial or subsistence production of food, materials, or ornamental displays.","https://global-ecosystems.org/explore/groups/T7.1","ValueToValue",,"INEGI_NCAVES","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0122001"
"2024/09/04 00:00:00",122,"inegi_mex_lcov_2021","vector","cdv_usuev250sVII_cnal","DESCRIPCIO","AGRICULTURA DE HUMEDAD PERMANENTE","AGRICULTURA DE HUMEDAD PERMANENTE","No further information",46,"T7.1","Annual croplands","Croplands are intensively managed agricultural ecosystems maintained by supplementation of nutrients and water, sowing and harvesting, soil cultivation and control of non-target plants and animals (weeds and pests). They currently cover 11% of the world’s land surface. Some systems of management include domestic herbivores introduced on harvested stubble or in ‘fallow’ years. These are structurally simple, very low-diversity, high-productivity systems, dominated by one or few non-woody, shallow-rooted annual plant species such as grains (mostly C3 grasses), vegetables, ‘cut flowers’, legumes, or fibre plants harvested annually by humans for commercial or subsistence production of food, materials, or ornamental displays.","https://global-ecosystems.org/explore/groups/T7.1","ValueToValue",,"INEGI_NCAVES","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0122001"
"2024/09/04 00:00:00",122,"inegi_mex_lcov_2021","vector","cdv_usuev250sVII_cnal","DESCRIPCIO","AGRICULTURA DE HUMEDAD SEMIPERMANENTE","AGRICULTURA DE HUMEDAD SEMIPERMANENTE","No further information",46,"T7.1","Annual croplands","Croplands are intensively managed agricultural ecosystems maintained by supplementation of nutrients and water, sowing and harvesting, soil cultivation and control of non-target plants and animals (weeds and pests). They currently cover 11% of the world’s land surface. Some systems of management include domestic herbivores introduced on harvested stubble or in ‘fallow’ years. These are structurally simple, very low-diversity, high-productivity systems, dominated by one or few non-woody, shallow-rooted annual plant species such as grains (mostly C3 grasses), vegetables, ‘cut flowers’, legumes, or fibre plants harvested annually by humans for commercial or subsistence production of food, materials, or ornamental displays.","https://global-ecosystems.org/explore/groups/T7.1","ValueToValue",,"INEGI_NCAVES","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0122001"
"2024/09/04 00:00:00",122,"inegi_mex_lcov_2021","vector","cdv_usuev250sVII_cnal","DESCRIPCIO","AGRICULTURA DE HUMEDAD SEMIPERMANENTE Y PERMANENTE","AGRICULTURA DE HUMEDAD SEMIPERMANENTE Y PERMANENTE","No further information",46,"T7.1","Annual croplands","Croplands are intensively managed agricultural ecosystems maintained by supplementation of nutrients and water, sowing and harvesting, soil cultivation and control of non-target plants and animals (weeds and pests). They currently cover 11% of the world’s land surface. Some systems of management include domestic herbivores introduced on harvested stubble or in ‘fallow’ years. These are structurally simple, very low-diversity, high-productivity systems, dominated by one or few non-woody, shallow-rooted annual plant species such as grains (mostly C3 grasses), vegetables, ‘cut flowers’, legumes, or fibre plants harvested annually by humans for commercial or subsistence production of food, materials, or ornamental displays.","https://global-ecosystems.org/explore/groups/T7.1","ValueToValue",,"INEGI_NCAVES","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0122001"
"2024/09/04 00:00:00",122,"inegi_mex_lcov_2021","vector","cdv_usuev250sVII_cnal","DESCRIPCIO","AGRICULTURA DE RIEGO ANUAL","AGRICULTURA DE RIEGO ANUAL","No further information",46,"T7.1","Annual croplands","Croplands are intensively managed agricultural ecosystems maintained by supplementation of nutrients and water, sowing and harvesting, soil cultivation and control of non-target plants and animals (weeds and pests). They currently cover 11% of the world’s land surface. Some systems of management include domestic herbivores introduced on harvested stubble or in ‘fallow’ years. These are structurally simple, very low-diversity, high-productivity systems, dominated by one or few non-woody, shallow-rooted annual plant species such as grains (mostly C3 grasses), vegetables, ‘cut flowers’, legumes, or fibre plants harvested annually by humans for commercial or subsistence production of food, materials, or ornamental displays.","https://global-ecosystems.org/explore/groups/T7.1","ValueToValue",,"INEGI_NCAVES","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0122001"
"2024/09/04 00:00:00",122,"inegi_mex_lcov_2021","vector","cdv_usuev250sVII_cnal","DESCRIPCIO","AGRICULTURA DE RIEGO ANUAL Y PERMANENTE","AGRICULTURA DE RIEGO ANUAL Y PERMANENTE","No further information",46,"T7.1","Annual croplands","Croplands are intensively managed agricultural ecosystems maintained by supplementation of nutrients and water, sowing and harvesting, soil cultivation and control of non-target plants and animals (weeds and pests). They currently cover 11% of the world’s land surface. Some systems of management include domestic herbivores introduced on harvested stubble or in ‘fallow’ years. These are structurally simple, very low-diversity, high-productivity systems, dominated by one or few non-woody, shallow-rooted annual plant species such as grains (mostly C3 grasses), vegetables, ‘cut flowers’, legumes, or fibre plants harvested annually by humans for commercial or subsistence production of food, materials, or ornamental displays.","https://global-ecosystems.org/explore/groups/T7.1","ValueToValue",,"INEGI_NCAVES","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0122001"
"2024/09/04 00:00:00",122,"inegi_mex_lcov_2021","vector","cdv_usuev250sVII_cnal","DESCRIPCIO","AGRICULTURA DE RIEGO ANUAL Y SEMIPERMANENTE","AGRICULTURA DE RIEGO ANUAL Y SEMIPERMANENTE","No further information",46,"T7.1","Annual croplands","Croplands are intensively managed agricultural ecosystems maintained by supplementation of nutrients and water, sowing and harvesting, soil cultivation and control of non-target plants and animals (weeds and pests). They currently cover 11% of the world’s land surface. Some systems of management include domestic herbivores introduced on harvested stubble or in ‘fallow’ years. These are structurally simple, very low-diversity, high-productivity systems, dominated by one or few non-woody, shallow-rooted annual plant species such as grains (mostly C3 grasses), vegetables, ‘cut flowers’, legumes, or fibre plants harvested annually by humans for commercial or subsistence production of food, materials, or ornamental displays.","https://global-ecosystems.org/explore/groups/T7.1","ValueToValue",,"INEGI_NCAVES","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0122001"
"2024/09/04 00:00:00",122,"inegi_mex_lcov_2021","vector","cdv_usuev250sVII_cnal","DESCRIPCIO","AGRICULTURA DE RIEGO PERMANENTE","AGRICULTURA DE RIEGO PERMANENTE","No further information",46,"T7.1","Annual croplands","Croplands are intensively managed agricultural ecosystems maintained by supplementation of nutrients and water, sowing and harvesting, soil cultivation and control of non-target plants and animals (weeds and pests). They currently cover 11% of the world’s land surface. Some systems of management include domestic herbivores introduced on harvested stubble or in ‘fallow’ years. These are structurally simple, very low-diversity, high-productivity systems, dominated by one or few non-woody, shallow-rooted annual plant species such as grains (mostly C3 grasses), vegetables, ‘cut flowers’, legumes, or fibre plants harvested annually by humans for commercial or subsistence production of food, materials, or ornamental displays.","https://global-ecosystems.org/explore/groups/T7.1","ValueToValue",,"INEGI_NCAVES","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0122001"
